ID,Name,Country,ISO
MAG001,Basilica of the Sagrada Familia,Spain,ES
MAG002,Parc Guell,Spain,ES
MAG003,Tower of London,England,UK
MAG004,Casa Batllo,Spain,ES
MAG005,Staromestske namesti,Czech Republic,CZ
MAG006,Edinburgh Castle,Scotland,UK
MAG007,Sch?nbrunn Palace,Austria,AT
MAG008,The Alhambra,Spain,ES
MAG009,Canal Grande,Italy,IT
MAG010,Torre de Belém,Portugal,PT
MAG011,Acropolis,Greece,GR
MAG012,Real Alcazar de Sevilla,Spain,ES
MAG013,Grand Place,Belgium,BE
MAG014,Mosteiro dos Jeronimos,Portugal,PT
MAG015,Mezquita Cathedral de Cordoba,Spain,ES
MAG016,The State Hermitage Museum,Russia,RU
MAG017,Krakow's Rynek Glowny Central Square,Poland,PL
MAG018,Palace of Versailles,France,FR
MAG019,Catedral de Sevilla,Spain,ES
MAG020,Seine River,France,FR
MAG021,Ponte de Dom Lu?s I,Portugal,PT
MAG022,Westminster Abbey,England,UK
MAG023,Casa Milà - La Pedrera,Spain,ES
MAG024,The Roman Baths,England,UK
MAG025,Pompeii Archaeological Park,Italy,IT
MAG026,Cologne Cathedral,Germany,DE
MAG027,Church of the Savior on Spilled Blood,Russia,RU
MAG028,Red Square,Russia,RU
MAG029,Historic Center of Vienna,Austria,AT
MAG030,Palace of Catalan Music,Spain,ES
MAG031,Old Town,Croatia,HR
MAG032,Park and National Palace of Pena,Portugal,PT
MAG033,Arena di Verona,Italy,IT
MAG034,Historic Centre of Brugge,Belgium,BE
MAG035,Royal Albert Dock Liverpool,England,UK
MAG036,Valle dei Templi,Italy,IT
MAG037,Edinburgh Old Town,Scotland,UK
MAG038,Sassi di Matera,Italy,IT
MAG039,Ortigia,Italy,IT
MAG040,Tallinn Old Town,Estonia,EE
MAG041,Pa?stwowe Muzeum Auschwitz-Birkenau,Poland,PL
MAG042,Danube River,Hungary,HU
MAG043,Stonehenge,England,UK
MAG044,Abbaye du Mont-Saint-Michel,France,FR
MAG045,Old Town,Poland,HR
MAG046,Wieliczka Salt Mine,Poland,PL
MAG047,Quinta da Regaleira,Portugal,PT
MAG048,Grand Peterhof Palace,Russia,RU
MAG049,Cais da Ribeira,Portugal,PT
MAG050,Palais des Papes,France,FR
MAG051,Historic Areas of Istanbul,Turkey,TR
MAG052,Cathedral De Santiago de Compostela,Spain,ES
MAG053,The State Museum St. Isaac’s Cathedral,Russia,RU
MAG054,Sch?nbrunn Gardens,Austria,AT
MAG055,La Petite France,France,FR
MAG056,Ancient City of Ephesus,Turkey,TR
MAG057,Historic Fortified City of Carcassonne,France,FR
MAG058,Acueduct of Segovia,Spain,ES
MAG059,Catedral Primada,Spain,ES
MAG060,Old Nessebar,Bulgaria,BG
MAG061,Palazzo di Diocleziano,Croatia,HR
MAG062,I Trulli di Alberobello - World Heritage Site,Italy,IT
MAG063,Calton Hill,Scot,UK
MAG064,Piazza delle Erbe,Italy,IT
MAG065,Museum Island,Germany,DE
MAG066,Salzburger Altstadt,Austria,AT
MAG067,Basilica Papale e Sacro Convento...,Italy,IT
MAG068,Reggia di Caserta,Italy,IT
MAG069,"Royal Botanic Gardens, Kew",England,UK
MAG070,Sea Fortress Suomenlinna,Finland,FI
MAG071,Buda Castle,Hungary,HU
MAG072,Bath Abbey,England,UK
MAG073,Moscow Kremlin,Russia,RU
MAG074,Parco Acheologico di Ercolano,Italy,IT
MAG075,Blenheim Palace,England,UK
MAG076,Kato Paphos Archaeological Park,Cyprus,CY
MAG077,Cathedrale Notre-Dame de Reims,France,FR
MAG078,Vatican City,Italy,VA
MAG079,Old City Riga (Vecriga),Latvia,LV
MAG080,Canterbury Cathedral,England,UK
MAG081,Catedral De Burgos,Spain,ES
MAG082,Durham Cathedral,England,UK
MAG083,Queen Emma Pontoon Bridge,Curaçao,NL
MAG084,Vieux Lyon,France,FR
MAG085,Villa d'Este,Italy,IT
MAG086,Historic Centre of San Gimignano,Italy,IT
MAG087,Pont du Gard,France,FR
MAG088,Vilnius Old Town,Lithuania,LT
MAG089,Alc?zar of Segovia,Spain,ES
MAG090,Greenwich,England,UK
MAG091,Bryggen Hanseatic Wharf,Norway,NO
MAG092,Kotor Old City,Montenegro,ME
MAG093,Bom Jesus do Monte,Portugal,PT
MAG094,Tower of Hercules (Torre de Hercules),Spain,ES
MAG095,Medieval City,Greece,GR
MAG096,Duomo di Pisa,Italy,IT
MAG097,La Lonja de la Seda,Spain,ES
MAG098,The Walls of Avila,Spain,ES
MAG099,Place Stanislas,France,FR
MAG100,Centro Storico,Italy,IT
